ds,y
2013-01-01,13696
2013-01-02,13678
2013-01-03,14488
2013-01-04,15677
2013-01-05,16237
2013-01-06,17291
2013-01-07,11769
2013-01-08,13560
2013-01-09,13878
2013-01-10,14642
2013-01-11,15633
2013-01-12,16679
2013-01-13,17741
2013-01-14,11746
2013-01-15,13625
2013-01-16,13591
2013-01-17,14587
2013-01-18,15495
2013-01-19,16294
2013-01-20,17612
2013-01-21,11709
2013-01-22,13724
2013-01-23,13613
2013-01-24,14472
2013-01-25,15640
2013-01-26,16561
2013-01-27,17579
2013-01-28,11848
2013-01-29,13724
2013-01-30,13391
2013-01-31,14724
2013-02-01,17473
2013-02-02,18323
2013-02-03,19544
2013-02-04,12998
2013-02-05,14956
2013-02-06,15124
2013-02-07,16112
2013-02-08,17450
2013-02-09,18425
2013-02-10,19501
2013-02-11,12961
2013-02-12,15154
2013-02-13,15274
2013-02-14,16379
2013-02-15,17563
2013-02-16,18428
2013-02-17,19502
2013-02-18,12858
2013-02-19,15359
2013-02-20,14909
2013-02-21,16329
2013-02-22,17393
2013-02-23,18436
2013-02-24,19482
2013-02-25,13058
2013-02-26,15184
2013-02-27,15014
2013-02-28,16228
2013-03-01,20978
2013-03-02,22094
2013-03-03,23260
2013-03-04,15710
2013-03-05,18189
2013-03-06,18435
2013-03-07,19310
2013-03-08,20755
2013-03-09,22054
2013-03-10,23252
2013-03-11,15323
2013-03-12,18029
2013-03-13,18413
2013-03-14,19395
2013-03-15,20663
2013-03-16,22144
2013-03-17,23338
2013-03-18,15583
2013-03-19,18235
2013-03-20,18097
2013-03-21,19405
2013-03-22,20812
2013-03-23,22108
2013-03-24,23287
2013-03-25,15647
2013-03-26,18308
2013-03-27,18276
2013-03-28,19742
2013-03-29,20711
2013-03-30,22292
2013-03-31,23537
2013-04-01,18204
2013-04-02,21218
2013-04-03,21125
2013-04-04,22859
2013-04-05,24180
2013-04-06,25805
2013-04-07,27172
2013-04-08,18005
2013-04-09,21176
2013-04-10,21197
2013-04-11,22975
2013-04-12,24183
2013-04-13,25758
2013-04-14,27389
2013-04-15,18080
2013-04-16,21429
2013-04-17,21209
2013-04-18,22838
2013-04-19,24077
2013-04-20,25553
2013-04-21,27437
2013-04-22,18415
2013-04-23,21445
2013-04-24,21422
2013-04-25,22607
2013-04-26,24303
2013-04-27,25379
2013-04-28,27510
2013-04-29,18025
2013-04-30,21299
2013-05-01,22967
2013-05-02,24553
2013-05-03,25996
2013-05-04,27754
2013-05-05,29338
2013-05-06,19464
2013-05-07,22803
2013-05-08,22901
2013-05-09,24404
2013-05-10,25964
2013-05-11,27518
2013-05-12,28968
2013-05-13,19253
2013-05-14,22911
2013-05-15,22831
2013-05-16,24323
2013-05-17,25786
2013-05-18,27575
2013-05-19,29146
2013-05-20,19467
2013-05-21,22750
2013-05-22,22993
2013-05-23,24478
2013-05-24,25950
2013-05-25,27828
2013-05-26,29595
2013-05-27,19470
2013-05-28,22875
2013-05-29,22979
2013-05-30,24310
2013-05-31,26092
2013-06-01,29220
2013-06-02,31279
2013-06-03,20628
2013-06-04,24038
2013-06-05,24326
2013-06-06,26193
2013-06-07,27734
2013-06-08,29487
2013-06-09,30967
2013-06-10,20799
2013-06-11,24653
2013-06-12,24315
2013-06-13,25859
2013-06-14,27635
2013-06-15,29396
2013-06-16,31206
2013-06-17,20532
2013-06-18,24342
2013-06-19,24155
2013-06-20,26128
2013-06-21,27667
2013-06-22,29464
2013-06-23,31470
2013-06-24,20904
2013-06-25,24115
2013-06-26,24449
2013-06-27,26341
2013-06-28,27590
2013-06-29,29449
2013-06-30,31256
2013-07-01,21997
2013-07-02,25802
2013-07-03,25903
2013-07-04,27624
2013-07-05,29418
2013-07-06,31178
2013-07-07,32949
2013-07-08,22288
2013-07-09,25917
2013-07-10,25728
2013-07-11,27977
2013-07-12,29650
2013-07-13,31540
2013-07-14,33113
2013-07-15,22020
2013-07-16,25945
2013-07-17,25664
2013-07-18,27618
2013-07-19,29734
2013-07-20,31281
2013-07-21,33150
2013-07-22,22060
2013-07-23,25682
2013-07-24,26036
2013-07-25,27682
2013-07-26,29585
2013-07-27,31681
2013-07-28,33216
2013-07-29,21987
2013-07-30,25873
2013-07-31,25624
2013-08-01,24052
2013-08-02,26159
2013-08-03,27866
2013-08-04,29301
2013-08-05,19634
2013-08-06,22740
2013-08-07,22455
2013-08-08,24354
2013-08-09,25862
2013-08-10,27482
2013-08-11,29260
2013-08-12,19570
2013-08-13,22645
2013-08-14,22727
2013-08-15,24376
2013-08-16,26232
2013-08-17,27887
2013-08-18,29179
2013-08-19,19336
2013-08-20,22855
2013-08-21,22736
2013-08-22,24523
2013-08-23,25735
2013-08-24,27768
2013-08-25,28990
2013-08-26,19441
2013-08-27,22853
2013-08-28,22831
2013-08-29,24235
2013-08-30,26195
2013-08-31,27482
2013-09-01,27346
2013-09-02,18572
2013-09-03,21395
2013-09-04,21127
2013-09-05,22733
2013-09-06,24393
2013-09-07,25892
2013-09-08,27320
2013-09-09,18130
2013-09-10,21507
2013-09-11,21221
2013-09-12,22751
2013-09-13,24291
2013-09-14,25894
2013-09-15,27255
2013-09-16,18425
2013-09-17,20864
2013-09-18,21368
2013-09-19,23037
2013-09-20,24230
2013-09-21,25981
2013-09-22,27439
2013-09-23,18259
2013-09-24,21223
2013-09-25,21390
2013-09-26,22589
2013-09-27,24295
2013-09-28,25408
2013-09-29,27363
2013-09-30,18209
2013-10-01,19640
2013-10-02,19853
2013-10-03,21059
2013-10-04,22494
2013-10-05,23892
2013-10-06,25318
2013-10-07,17034
2013-10-08,19624
2013-10-09,19519
2013-10-10,21478
2013-10-11,22409
2013-10-12,23836
2013-10-13,25438
2013-10-14,16791
2013-10-15,19615
2013-10-16,19666
2013-10-17,21081
2013-10-18,22378
2013-10-19,24083
2013-10-20,25209
2013-10-21,16765
2013-10-22,19694
2013-10-23,19642
2013-10-24,21126
2013-10-25,22530
2013-10-26,23745
2013-10-27,25247
2013-10-28,16782
2013-10-29,19700
2013-10-30,19854
2013-10-31,21085
2013-11-01,24277
2013-11-02,25569
2013-11-03,27266
2013-11-04,18215
2013-11-05,21255
2013-11-06,21044
2013-11-07,22521
2013-11-08,24466
2013-11-09,25864
2013-11-10,27191
2013-11-11,18375
2013-11-12,21249
2013-11-13,21174
2013-11-14,22555
2013-11-15,24262
