ds,y
2013-01-01,454904
2013-02-01,459417
2013-03-01,617382
2013-04-01,682274
2013-05-01,763242
2013-06-01,795597
2013-07-01,855922
2013-08-01,766761
2013-09-01,689907
2013-10-01,656587
2013-11-01,692643
2013-12-01,506607
2014-01-01,525987
2014-02-01,529117
2014-03-01,704301
2014-04-01,788914
2014-05-01,882877
2014-06-01,906842
2014-07-01,989010
2014-08-01,885596
2014-09-01,785124
2014-10-01,758883
2014-11-01,800783
2014-12-01,578048
2015-01-01,552513
2015-02-01,551317
2015-03-01,730951
2015-04-01,824467
2015-05-01,926902
2015-06-01,937184
2015-07-01,1037350
2015-08-01,920401
2015-09-01,823332
2015-10-01,797253
2015-11-01,827645
2015-12-01,607572
2016-01-01,602439
2016-02-01,614957
2016-03-01,790881
2016-04-01,901950
2016-05-01,988730
2016-06-01,1022664
2016-07-01,1138718
2016-08-01,981494
2016-09-01,896831
2016-10-01,863637
2016-11-01,891448
2016-12-01,663411
2017-01-01,617306
2017-02-01,621369
2017-03-01,822667
2017-04-01,938862
2017-05-01,1020686
2017-06-01,1064624
2017-07-01,1171393
2017-08-01,1026403
2017-09-01,935263
2017-10-01,891160
2017-11-01,928837
2017-12-01,695170
